Task ID	Created At	Completed At	Last Modified	Name	Assignee	Assignee Email	Start Date	Due Date	Tags	Notes	Projects	Parent Task
613037677405011	2018-03-29	2018-04-11	2018-04-11	Femisphere	zuza	zuza@rtaventures.com			outgoing,pregnancy,Germany	App for pregnant women: https://www.femisphere.me/	Deal Flow Log: to review	
613049588024787	2018-03-29	2018-04-11	2018-04-11	transmedics	zuza	zuza@rtaventures.com			outgoing,Germany	healthcare process mgmt: http://tracemedics.com/	Deal Flow Log: to review	
613036505912729	2018-03-29	2018-04-11	2018-04-11	arztbuchen24	zuza	zuza@rtaventures.com			outgoing,appointments,Germany	https://www.arztbuchen24.de/	Deal Flow Log: to review	
612998084092222	2018-03-29	2018-04-11	2018-04-11	Dipat	zuza	zuza@rtaventures.com			outgoing,Germany	DNAR: https://www.dipat.de/vorteile/	Deal Flow Log: to review	
612994133076320	2018-03-29	2018-04-11	2018-04-11	diabetizer	zuza	zuza@rtaventures.com			outgoing,diabetes,Germany	diabetes mgmt system: https://diabetizer.com/index.php/en/home_en/	Deal Flow Log: to review	
612992118520629	2018-03-29	2018-04-11	2018-04-11	datapeutics	zuza	zuza@rtaventures.com			outgoing,population health mgmt,Germany	Risk scoring for patients? https://www.datapeutics.com/	Deal Flow Log: to review	
612989737676843	2018-03-29	2018-04-11	2018-04-11	Curafides	zuza	zuza@rtaventures.com			outgoing,Germany,elderly	Marketplace with caregivers: https://curafides.com/	Deal Flow Log: to review	
612986945440646	2018-03-29	2018-04-11	2018-04-11	BetterGood	zuza	zuza@rtaventures.com			outgoing,nutrition,Germany	Portal with nutritional information: https://bettergood.de/ outgoing, Germany	Deal Flow Log: to review	
505420363335624	2017-12-18	2018-04-11	2018-04-11	5Bay	zuza	zuza@rtaventures.com			outgoing,China,medication adherance	smart pillbox http://www.5bay.IO	Deal Flow Log: to review	
505420363335625	2017-12-18	2018-04-11	2018-04-11	Lifehealth	zuza	zuza@rtaventures.com			outgoing,India	soft for diagnostics centres https://livehealth.in	Deal Flow Log: to review	
505420363335626	2017-12-18		2018-04-11	PregBuddy	zuza	zuza@rtaventures.com			outgoing,India,pregnancy	Pregnany companion app http://www.pregbuddy.com	Deal Flow Log: to review	
507788511716427	2017-12-20	2018-04-11	2018-04-11	Eterly	zuza	zuza@rtaventures.com			incoming,UK,elderly	none	Deal Flow Log: to review	
626560192495813	2018-04-09		2018-04-11	Medic Mobile	zuza	zuza@rtaventures.com			outgoing,South Africa,USA	Developed for the African community health workers https://medicmobile.org/	Deal Flow Log: to review	
580279328557190	2018-03-04		2018-04-11	Spreaker	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Podcasting and radio platform https://www.spreaker.com/ USA, outgoing, podcast	Deal Flow Log: to review	
580282057097635	2018-03-04		2018-04-11	Subcast	zuza	zuza@rtaventures.com			outgoing,podcasts	Podcast radio player, incl. for Alexa https://www.subcast.com/ USA, outgoing	Deal Flow Log: to review	
580284036402361	2018-03-04	2018-04-11	2018-04-11	Opinion	zuza	zuza@rtaventures.com			outgoing,Sweden,podcasts	Podcast studio for iPhone http://opinionpodcasting.com/ Sweden, outgoing	Deal Flow Log: to review	
580285516312888	2018-03-04		2018-04-11	Breaker	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	A social podcast app: https://www.breaker.audio/ USA, outgoing	Deal Flow Log: to review	
580290161734236	2018-03-05		2018-04-11	Laughable	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Podcasts with comedians: https://laughable.com/ USA, outgoing	Deal Flow Log: to review	
580301882561397	2018-03-05		2018-04-11	HeadGum	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Podcast curation: https://headgum.com/about USA, outgoing	Deal Flow Log: to review	
580311806047954	2018-03-05		2018-04-11	RadioPublic	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Reinventing radio through podcasts: http://www.radiopublic.com/ USA, outgoing	Deal Flow Log: to review	
580316405119864	2018-03-05		2018-04-11	PodBean	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Start podcasting: https://www.podbean.com/ outgoing, USA	Deal Flow Log: to review	
580364177995592	2018-03-05	2018-04-11	2018-04-11	Audiopi	zuza	zuza@rtaventures.com			outgoing,UK,podcasts	GSCE and A levels tutorials: https://www.audiopi.co.uk/	Deal Flow Log: to review	
580399521629231	2018-03-05	2018-04-11	2018-04-11	Odeeo	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Some podcasting platform: http://www.odeeo.fm/ outgoing, USA	Deal Flow Log: to review	
580401051812388	2018-03-05		2018-04-11	Nerdist	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	All things nerds-related: https://nerdist.com/ outgoing, USA	Deal Flow Log: to review	
580410617430837	2018-03-05		2018-04-11	iono	zuza	zuza@rtaventures.com			outgoing,South Africa,podcasts	Discover and listen to podcasts: https://iono.fm/ outgoing, South Africa	Deal Flow Log: to review	
580412042235022	2018-03-05		2018-04-11	podbile	zuza	zuza@rtaventures.com			outgoing,USA,podcasts	Discovery and monetization for podcasts solution: https://play.podible.co/login AI, outgoing, USA	Deal Flow Log: to review	
580412032339830	2018-03-05		2018-04-11	Leela Kids	zuza	zuza@rtaventures.com			outgoing,podcasts	First kids podcast app: http://leelalabs.com/ outgoing, USA	Deal Flow Log: to review	
580514171942813	2018-03-05	2018-04-11	2018-04-11	Dance NEX	zuza	zuza@rtaventures.com			outgoing,dance,South Africa	Database with dance schools and dance coaches: https://dancenex.com/	Deal Flow Log: to review	
603747212724754	2018-03-22	2018-04-11	2018-04-11	Feedr	zuza	zuza@rtaventures.com			incoming,food,UK	Food catering for companies https://teamfeedr.com/	Deal Flow Log: to review	
606929836681149	2018-03-25	2018-04-11	2018-04-11	Incicion. care	zuza	zuza@rtaventures.com			incoming,Netherlands,education	Edu for surgical procedures: https://www.incision.care/	Deal Flow Log: to review	
607748045737649	2018-03-26		2018-04-11	AssistrCare	zuza	zuza@rtaventures.com			incoming,Germany	AssistrCare http://www.assistrcare.com/product incoming, Germany	Deal Flow Log: to review	
611075897375455	2018-03-28	2018-04-11	2018-04-11	Metalogics	zuza	zuza@rtaventures.com			network,weight loss,USA	"Calorie counting"" http://www.metalogicscorp.com/"	Deal Flow Log: to review	
611075897375456	2018-03-28	2018-04-11	2018-04-11	Firfetti	zuza	zuza@rtaventures.com			network,USA	Fitness sponsorship app https://fitfetti.com/	Deal Flow Log: to review	
612986929204591	2018-03-29	2018-04-11	2018-04-11	AppointMed	zuza	zuza@rtaventures.com			outgoing,appointments,Germany	Practice software: https://www.appointmed.com/ Germany, outgoing	Deal Flow Log: to review	
613051573307467	2018-03-29	2018-04-11	2018-04-11	Bodylabs	zuza	zuza@rtaventures.com			outgoing,fitness,Germany	Deep health analysis? https://bodylabs.io/en/	Deal Flow Log: to review	
613053874301294	2018-03-29	2018-04-11	2018-04-11	Antelope	zuza	zuza@rtaventures.com			outgoing,Germany	Clothing which stimulates your muscles: http://info.antelope.club/ Germany, outgoing,	Deal Flow Log: to review	
622404807613412	2018-04-06	2018-04-11	2018-04-11	Novalaka	zuza	zuza@rtaventures.com			incoming,Israel,drugs	Drug delivery systems	Deal Flow Log: to review	
622555806869506	2018-04-06	2018-04-11	2018-04-11	MIMI.MONEY	zuza	zuza@rtaventures.com			incoming,financial,Uganda	Mobile money transfers http://www.mimi.money/	Deal Flow Log: to review	
483106856204563	2017-11-19		2018-04-11	Eva	zuza	zuza@rtaventures.com			outgoing,wearable,cancer,mexico	Breast cancer detection bra http://higia.tech/ Mexico	Deal Flow Log: to review	
629609707552376	2018-04-11		2018-04-11	Beneficiary	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London,charity	Beneficiary helps charities identify the most effective ways to improve lives beneficiary.io	Deal Flow Log: to review	
629609707552381	2018-04-11		2018-04-11	Inoviv	zuza	zuza@rtaventures.com			network,clinical trials,drugs,UK,Entrepreneur First 9 London	Matches patients with the right drugs inoviv.com	Deal Flow Log: to review	
629609707552382	2018-04-11		2018-04-11	PolyAI	zuza	zuza@rtaventures.com			network,UK,voice,Entrepreneur First 9 London	Is democratizing conversational AI to give machines a voice poly-ai.com	Deal Flow Log: to review	
629609707552383	2018-04-11		2018-04-11	Plural AI	zuza	zuza@rtaventures.com			network,UK,Entrepreneur First 9 London	building new search engine: a knowledge engine plural.ai	Deal Flow Log: to review	
628407057513198	2018-04-10	2018-04-10	2018-04-10	Dermike	Piotr Kulesza	piotr@rta.vc			network,Poland	https://dermike.com SaaS dla gabinetow dermatologii kosmetycznej	Deal Flow Log: to review	
628334999071990	2018-04-10	2018-04-10	2018-04-10	MedServation	Piotr Kulesza	piotr@rta.vc			network,Germany	"content producer - agency? most know ""digital German doctor""? http://www.medservation.de/"	Deal Flow Log: to review	
226800151326400	2016-12-07	2018-04-10	2018-04-10	Nightly (ex DreamJay)	Piotr Kulesza	piotr@rta.vc			network,Poland	http://dreamjay.com	Deal Flow Log: in progress	
618879884890578	2018-04-04		2018-04-10	Advantis	Piotr Kulesza	piotr@rta.vc			network,Greece,medical imaging	https://advantis.io	Deal Flow Log: in progress	
625333828790652	2018-04-09	2018-04-09	2018-04-09	ROIvenue	Piotr Kulesza	piotr@rta.vc			incoming,Czech Republic	www.roivenue.com SaaS martech start-up selling cross-channel attribution solutions that enable to maximize marketing ROI	Deal Flow Log: to review	
619338600432932	2018-04-04	2018-04-06	2018-04-06	HeyDoc	Piotr Kulesza	piotr@rta.vc			network,EHR,UK	https://heydoc.co.uk/ - medical & admin tasks combined	Deal Flow Log: to review	
620699322423236	2018-04-05	2018-04-05	2018-04-05	AD Video & Content Platform Company	Piotr Kulesza	piotr@rta.vc			incoming,Spain	AD Video & Content Platform Company	Deal Flow Log: to review	
262891791105115	2017-02-06		2018-04-04	FindMeCure	Piotr Kulesza	piotr@rta.vc			network,clinical trials,Bulgaria	https://www.findmecure.com from Stan@LauncHub	Deal Flow Log: to review	
618941891956324	2018-04-04	2018-04-04	2018-04-04	DisputeDoc	Piotr Kulesza	piotr@rta.vc			incoming,USA,identity management	https://disputedoc.com/ mobile and web-based platform that uses AI-based automation to help consumers and businesses quickly and easily improve credit scores and recover from identity theft.	Deal Flow Log: to review	
611319632224869	2018-03-28		2018-04-04	Oxipit	Piotr Kulesza	piotr@rta.vc			from PNC,network,Lithuania,medical imaging	http://www.oxipit.ai AI for medical images	Deal Flow Log: to review	
616851365032149	2018-04-03	2018-04-03	2018-04-03	Contraline	Piotr Kulesza	piotr@rta.vc			network,USA,Jason's syndicate	a medical device company developing the first long-lasting, non-hormonal, and reversible male contraceptive	Deal Flow Log: to review	
476362264383820	2017-11-10		2018-03-31	Quant.co	zuza	zuza@rtaventures.com		2018-04-01	network,USA	Machine learning for business models http://quant.co/	Deal Flow Log: in progress	
64771214464054	2015-11-10		2018-03-31	Medabo	zuza	zuza@rtaventures.com		2018-04-01	outgoing,Germany,Berlin	Ordering meds online: meds. generally + follow-up prescription https://www.medabo.de/	Deal Flow Log: to review	
614922836750291	2018-03-31	2018-03-31	2018-03-31	Sticker Place	Piotr Kulesza	piotr@rta.vc			incoming	https://sticker.place/ stickers :slightly_smiling_face:	Deal Flow Log: to review	
425534792119879	2018-03-29	2018-03-29	2018-03-29	RoboCamp	Piotr Kulesza	piotr@rta.vc			incoming,Poland,education	https://www.robocamp.eu Kursy nauczania robotyki dla dzieci	Deal Flow Log: to review	
611327786679414	2018-03-28	2018-03-28	2018-03-28	PlayerHunter	Piotr Kulesza	piotr@rta.vc			incoming,Austria	http://www.playerhunter.com platform for football	Deal Flow Log: to review	
609902107743077	2018-03-27	2018-03-27	2018-03-27	MedRepublic	Piotr Kulesza	piotr@rta.vc			network,USA	https://www.medrepublic.com medical tourism	Deal Flow Log: to review	
609607564326025	2018-03-27	2018-03-27	2018-03-27	Inveox	Piotr Kulesza	piotr@rta.vc			incoming,Germany	http://inveox.com/start-2/ Pathology 4.0 automated path lab	Deal Flow Log: to review	
489916045386400	2017-11-28		2018-03-27	WeMoms	zuza	zuza@rtaventures.com			outgoing,France	Social netowrk for Moms? http://www.wemoms.com/accueil/ France, outgoing,	Deal Flow Log: in progress	
316568866100571	2017-04-11		2018-03-27	Heltti	zuza	zuza@rtaventures.com			outgoing,Finland,employer	Some occupational health solution for employers https://heltti.me/en Heltti is a Finnish occupational health care company founded in 2013. It is owned by its employees and a handful of renowned Finnish investors, such as Risto Siilasmaa. Our mission is to positively effect the lives of 500 000 people by 2020. Our aim is to develop the most lovable digital health care systems to fulfill this mission.	Deal Flow Log: to review	
193688695923928	2016-10-10	2016-10-10	2018-03-27	VenueScanner	Piotr Kulesza	piotr@rta.vc			incoming,UK	https://www.venuescanner.com	Deal Flow Log: to review	
171024586786969	2016-08-23		2018-03-26	turbine	zuza	zuza@rtaventures.com			outgoing,cancer,event,AI,Hungary,Bayer'16	Designing effective cancer combination therapies ny running millions of virtual clinical trials on Simulated Cancer Cells http://turbine.ai	Deal Flow Log: in progress	
594522696533490	2018-03-14		2018-03-26	Let's Enhance	zuza	zuza@rtaventures.com			network,Ukraine,image	AI for images: to process and generate images letsenhance.io	Deal Flow Log: to review	
606903071081589	2018-03-25	2018-03-26	2018-03-26	Stride VC	Piotr Kulesza	piotr@rta.vc			from PNC,network,VC fund,UK	early stage VC in UK Fred Destin + Harry Stebbings	Deal Flow Log: to review	
606784717867369	2018-03-24	2018-03-24	2018-03-24	ihealthyou	Piotr Kulesza	piotr@rta.vc			incoming,Italy	blockchain for medical tourism	Deal Flow Log: to review	
604634213172342	2018-03-22	2018-03-22	2018-03-22	SpotAWheel	Piotr Kulesza	piotr@rta.vc			network,Greece	https://www.spotawheel.gr used car e-tailer	Deal Flow Log: to review	
604530069592142	2018-03-22	2018-03-22	2018-03-22	UserGuiding	Piotr Kulesza	piotr@rta.vc			incoming,USA	https://userguiding.com/ SaaS for onboarding to SaaS products	Deal Flow Log: to review	
603049731599233	2018-03-21	2018-03-21	2018-03-21	Entertainment Teens	Piotr Kulesza	piotr@rta.vc			incoming,USA	online media	Deal Flow Log: to review	
594522696533488	2018-03-14	2018-03-20	2018-03-20	Delfast	zuza	zuza@rtaventures.com			network,Ukraine	Tesla of bikes delfast.co	Deal Flow Log: to review	
594522696533492	2018-03-14		2018-03-20	Litnet	zuza	zuza@rtaventures.com			network,Ukraine,books	Litnet: revolucionizing the e-book distribution lit-era.om	Deal Flow Log: to review	
575711057331652	2018-02-28	2018-03-20	2018-03-20	Momala	zuza	zuza@rtaventures.com			outgoing,Netherlands	Malaria screening: https://momala.org/ outgoing, Netherlands	Deal Flow Log: to review	
584255754923567	2018-03-06	2018-03-20	2018-03-20	Sandstone Diagnostics/ Trak	zuza	zuza@rtaventures.com			network,fertility,USA,male	At home sperm test: https://trakfertility.com/	Deal Flow Log: to review	
582321977822744	2018-03-05	2018-03-20	2018-03-20	FASADIO	zuza	zuza@rtaventures.com			network,Poland,ReactorX	A marketplace connecting customers with facade architects. Via the platform customer can choose best design, calculate costs and order materials to install on the building https://fasadio.com/	Deal Flow Log: to review	
590943980183600	2018-03-13	2018-03-20	2018-03-20	WeMalife	zuza	zuza@rtaventures.com			outgoing,appointments,UK	Appointment bookings: http://www.wemalife.com/ UK, outgong	Deal Flow Log: to review	
594522696533483	2018-03-14	2018-03-20	2018-03-20	Flywise	zuza	zuza@rtaventures.com			network,Ukraine,shipping	crowd shipping: p2p delivery system, bringing shoppers and travellers together	Deal Flow Log: to review	
594522696533484	2018-03-14	2018-03-20	2018-03-20	AdController	zuza	zuza@rtaventures.com			network,Ukraine,advertising	https://octogin.com/	Deal Flow Log: to review	
594522696533486	2018-03-14	2018-03-20	2018-03-20	AxDraft	zuza	zuza@rtaventures.com			network,Ukraine,document	Document assembly solution letting users earn money: axdraft.com	Deal Flow Log: to review	
594522696533487	2018-03-14	2018-03-20	2018-03-20	Cardiomo	zuza	zuza@rtaventures.com			network,heart,Ukraine	cardiomo.com	Deal Flow Log: to review	
594522696533494	2018-03-14	2018-03-20	2018-03-20	Raccoon	zuza	zuza@rtaventures.com			network,Ukraine,disability	Device for ppl with hand disabilities raccoon.com	Deal Flow Log: to review	
594522696533495	2018-03-14	2018-03-20	2018-03-20	Roopor	zuza	zuza@rtaventures.com			network,education,Ukraine	e-learning	Deal Flow Log: to review	
594522696533497	2018-03-14	2018-03-20	2018-03-20	Shelf	zuza	zuza@rtaventures.com			network,Ukraine	Distributed auctioning network www. shelf.network	Deal Flow Log: to review	
596205642386768	2018-03-15	2018-03-20	2018-03-20	Renters Union	zuza	zuza@rtaventures.com			incoming,legal,UK	Chat bot for issues resolutuion b/t the landlords and the tenants www.retersunion.co.uk	Deal Flow Log: to review	
598045657078100	2018-03-19	2018-03-20	2018-03-20	Projekt soft-hotelowy	zuza	zuza@rtaventures.com			incoming,Poland	none	Deal Flow Log: to review	
598163868903040	2018-03-19	2018-03-20	2018-03-20	DocPlexus	zuza	zuza@rtaventures.com			outgoing,India,doctors' network	Docs' network https://www.docplexus.in/index?redirecturl=/	Deal Flow Log: to review	
598163868903043	2018-03-19	2018-03-20	2018-03-20	Purple Health	zuza	zuza@rtaventures.com			outgoing,India,medical tourism	Purple Health https://www.purplehealth.com/	Deal Flow Log: to review	
598163868903044	2018-03-19		2018-03-20	boundlss	zuza	zuza@rtaventures.com			outgoing,Australia,patient engagement	Patient engagement for insurers: http://www.boundlss.com/team/	Deal Flow Log: to review	
440742486753472	2017-09-28		2018-03-19	Urban Massage	zuza	zuza@rtaventures.com			outgoing,UK,massage	On demand massage https://www.urbanmassage.com/en-gb/ UK, outgoing	Deal Flow Log: to review	
